condition,cell_index,cell_median_D_B
C3_carrier,0,0.19210149898584264
C3_carrier,1,0.6035307518720016
C3_carrier,2,0.24615808486474672
C3_carrier,3,0.14677405008075145
C3_carrier,4,0.3459033608926856
C3_carrier,5,0.1876121926264011
C3_carrier,6,0.2716648669775219
C3_carrier,7,0.22357800381293244
C3_carrier,8,0.15261696894047755
C3_carrier,9,0.4219572870332826
C3_carrier,10,0.5047566454092778
C3_carrier,11,0.20521917011670238
C3L_carrier_local,0,0.9922632106300961
C3L_carrier_local,1,0.9967379387177783
C3L_carrier_local,2,0.9729984660665154
C3L_carrier_local,3,1.002230807317945
C3L_carrier_local,4,0.9815861720794548
C3L_carrier_local,5,1.0018336206229086
C3L_carrier_local,6,1.0015899212701536
C3L_carrier_local,7,0.9884790301707991
C4_reset,0,0.9462335116146691
C4_reset,1,0.6340503621744207
C4_reset,2,0.7971484886357771
C4_reset,3,0.8219852926864061
C4_reset,4,0.7813389254795278
C4_reset,5,0.794252859959766
C4_reset,6,0.8918165696507563
C4_reset,7,0.9131211739370213
C4_reset,8,0.8174205467176032
C4_reset,9,0.871572027001974
C4_reset,10,0.5010067183522814
C4_reset,11,0.7415282424079545
C5_deadsite,0,0.993028804263671
C5_deadsite,1,0.8861921192083532
C5_deadsite,2,0.9975013047253857
C5_deadsite,3,0.997555114798693
C5_deadsite,4,0.9608306535780389
C5_deadsite,5,0.9404161912350184
C5_deadsite,6,0.9573972917612743
C5_deadsite,7,0.9664434339880121
C5_deadsite,8,0.9620690337429694
C5_deadsite,9,0.9666822756627607
C5_deadsite,10,0.8171359374709593
C5_deadsite,11,0.9189005256504154
C6_rand_carrier,0,1.0593593584270262
C6_rand_carrier,1,0.943426645423685
C6_rand_carrier,2,1.493137290094829
C6_rand_carrier,3,1.3139719162706593
C6_rand_carrier,4,0.8658386709400278
C6_rand_carrier,5,1.670229686002728
C6_rand_carrier,6,0.7747675599492978
C6_rand_carrier,7,1.7035261648118267
C6_rand_carrier,8,0.8875572337587494
C6_rand_carrier,9,0.702017609642413
C6_rand_carrier,10,1.4821311701643878
C6_rand_carrier,11,1.2137818279580752
C7_unrel_carrier,0,0.8960781810429096
C7_unrel_carrier,1,1.5251779032421275
C7_unrel_carrier,2,0.6860685136902298
C7_unrel_carrier,3,0.6325999634752226
C7_unrel_carrier,4,1.1099930879430047
C7_unrel_carrier,5,1.0841435106628219
C7_unrel_carrier,6,0.8642068914167622
C7_unrel_carrier,7,1.0614311126717904
C7_unrel_carrier,8,0.4092954016740906
C7_unrel_carrier,9,0.643511589274982
C7_unrel_carrier,10,1.5025906541013199
C7_unrel_carrier,11,0.9929735342422976
